,Tweets,new,tidy_text,tok,nouns,clean_tweet,is_retweet,retweeted,mentioned,hashtags,cluster
1,"RT @abir_1729: #cancelboardexam2021
#cancelboardexams2021
If any students get covid affect in between exam dates then what will happen ? ht…","RT @abir_1729: #cancelboardexam2021
#cancelboardexams2021
If any students get covid affect in between exam dates then what will happen ? ht…",#cancelboardexam #cancelboardexams students covid affect between exam dates then what will happen,"['#', 'cancelboardexam', '#', 'cancelboardexams', 'students', 'covid', 'affect', 'between', 'exam', 'dates', 'then', 'what', 'will', 'happen']","['cancelboardexam', 'students', 'exam', 'dates']", #cancelboardexam #cancelboardexams student get covid affect exam date happen ht…,True,['@abir_1729'],[],"['#cancelboardexam2021', '#cancelboardexams2021']",0
7,RT @dinesh_sir: Thanks for taking decisions for safety of students. But please try to clear picture of future exam patterns asap. So that s…,RT @dinesh_sir: Thanks for taking decisions for safety of students. But please try to clear picture of future exam patterns asap. So that s…,Thanks taking decisions safety students please clear picture future exam patterns asap that,"['Thanks', 'taking', 'decisions', 'safety', 'students', 'please', 'clear', 'picture', 'future', 'exam', 'patterns', 'asap', 'that']","['Thanks', 'decisions', 'safety', 'students', 'picture', 'exam', 'patterns']", thank take decis safeti student pleas tri clear pictur futur exam pattern asap s…,True,['@dinesh_sir'],[],[],0
17,"RT @Voize_of_Reazon: Just hours after tweeting this, he was killed while riding his bike.  I love to cycle and I'm cautious as hell when I…","RT @Voize_of_Reazon: Just hours after tweeting this, he was killed while riding his bike.  I love to cycle and I'm cautious as hell when I…",Just hours after tweeting this killed while riding bike love cycle cautious hell when,"['Just', 'hours', 'after', 'tweeting', 'this', 'killed', 'while', 'riding', 'bike', 'love', 'cycle', 'cautious', 'hell', 'when']","['Just', 'hours', 'love', 'cycle', 'hell']", hour tweet kill ride bike love cycl cautiou hell i…,True,['@Voize_of_Reazon'],[],[],0
28,"RT @AnmolKa17138645: #cancelboardexam2021 
As we see the covid cases are rising here in India and cbse is focusing more on boards and not o…","RT @AnmolKa17138645: #cancelboardexam2021 
As we see the covid cases are rising here in India and cbse is focusing more on boards and not o…",#cancelboardexam covid cases rising here India cbse focusing more boards,"['#', 'cancelboardexam', 'covid', 'cases', 'rising', 'here', 'India', 'cbse', 'focusing', 'more', 'boards']","['cancelboardexam', 'covid', 'cases', 'India', 'cbse', 'boards']", #cancelboardexam see covid case rise india cbse focus board o…,True,['@AnmolKa17138645'],[],['#cancelboardexam2021'],0
34,"#cancelboardexams2021 #cancelcbseboards2021 
Why is government not listening to student, even they are not assuming… https://t.co/dO0g8ZwhQo","#cancelboardexams2021 #cancelcbseboards2021 
Why is government not listening to student, even they are not assuming… ",#cancelboardexams #cancelcbseboards government listening student even they assuming,"['#', 'cancelboardexams', '#', 'cancelcbseboards', 'government', 'listening', 'student', 'even', 'they', 'assuming']","['cancelboardexams', 'cancelcbseboards', 'government', 'student']",#cancelboardexams #cancelcbseboards govern listen student even assuming… ,False,[],[],"['#cancelboardexams2021', '#cancelcbseboards2021']",0
35,"RT @trolllikebroo: Delhi CM comes out in support of Students!

""If CBSE board exams are held in Delhi, 6 lakh students &amp; 1 lakh teachers wi…","RT @trolllikebroo: Delhi CM comes out in support of Students!

""If CBSE board exams are held in Delhi, 6 lakh students &amp; 1 lakh teachers wi…",Delhi comes support Students CBSE board exams held Delhi lakh students lakh teachers,"['Delhi', 'comes', 'support', 'Students', 'CBSE', 'board', 'exams', 'held', 'Delhi', 'lakh', 'students', 'lakh', 'teachers']","['Delhi', 'Students', 'CBSE', 'board', 'Delhi', 'students', 'teachers']", delhi cm come support student cbse board exam held delhi  lakh student amp  lakh teacher wi…,True,['@trolllikebroo'],[],[],0
41,"RT @RahulSharma25: #cancelboardexam2021 
As we see the covid cases are rising here in India and cbse is focusing more on boards and not on…","RT @RahulSharma25: #cancelboardexam2021 
As we see the covid cases are rising here in India and cbse is focusing more on boards and not on…",#cancelboardexam covid cases rising here India cbse focusing more boards,"['#', 'cancelboardexam', 'covid', 'cases', 'rising', 'here', 'India', 'cbse', 'focusing', 'more', 'boards']","['cancelboardexam', 'covid', 'cases', 'India', 'cbse', 'boards']", #cancelboardexam see covid case rise india cbse focus board on…,True,['@RahulSharma25'],[],['#cancelboardexam2021'],0
45,"RT @Vraj_patel21: Omg!! Second wave of COVID-19 has reached a peak and CBSE wants to conduct board exams.
lakhs of students wil be appearin…","RT @Vraj_patel21: Omg!! Second wave of COVID-19 has reached a peak and CBSE wants to conduct board exams.
lakhs of students wil be appearin…",Second wave COVID reached peak CBSE wants conduct board exams lakhs students appearin,"['Second', 'wave', 'COVID', 'reached', 'peak', 'CBSE', 'wants', 'conduct', 'board', 'exams', 'lakhs', 'students', 'appearin']","['wave', 'COVID', 'CBSE', 'board', 'students']", omg second wave covid  reach peak cbse want conduct board exam lakh student wil appearin…,True,['@Vraj_patel21'],[],[],0
47,RT @nidhiindiatv: Delhi CM @ArvindKejriwal requests Centre Govt to #cancelcbseboardexams2021 amid fears of exam centres becoming Covid hots…,RT @nidhiindiatv: Delhi CM @ArvindKejriwal requests Centre Govt to #cancelcbseboardexams2021 amid fears of exam centres becoming Covid hots…,Delhi requests Centre Govt #cancelcbseboardexams amid fears exam centres becoming Covid hots,"['Delhi', 'requests', 'Centre', 'Govt', '#', 'cancelcbseboardexams', 'amid', 'fears', 'exam', 'centres', 'becoming', 'Covid', 'hots']","['Delhi', 'requests', 'Centre', 'Govt', 'cancelcbseboardexams', 'fears', 'centres', 'Covid', 'hots']", delhi cm request centr govt #cancelcbseboardexams amid fear exam centr becom covid hots…,True,['@nidhiindiatv'],['@ArvindKejriwal'],['#cancelcbseboardexams2021'],0
49,RT @Rajpand59113220: It's very critical situation for everyone. Also a student can't mentally prepare for offline exam right now. Governmen…,RT @Rajpand59113220: It's very critical situation for everyone. Also a student can't mentally prepare for offline exam right now. Governmen…,very critical situation everyone Also student mentally prepare offline exam right Governmen,"['very', 'critical', 'situation', 'everyone', 'Also', 'student', 'mentally', 'prepare', 'offline', 'exam', 'right', 'Governmen']","['situation', 'everyone', 'exam', 'Governmen']", critic situat everyon also student mental prepar offlin exam right governmen…,True,['@Rajpand59113220'],[],[],0
